tahun_akademik,id_matkul,nama_matkul,jumlah_mhs
2020,16,matematika dasar i,74
2020,17,matematika dasar ii,67
2020,18,matematika diskrit,53
2020,19,metode numerik ,56
2020,20,organisasi dan arsitektur komputer,69
2020,21,otomata,55
2020,22,pemrograman berorientasi objek ,51
2020,23,pemrograman jaringan ,37
2020,24,pemrograman web ,35
2020,25,pemrosesan bahasa alami  pba   pw ,42
2020,26,pendidikan agama,70
2020,27,pendidikan pancasila,65
2020,28,pengantar teknik informatika,66
2020,29,penulisan proposal tugas akhir,38
2020,30,perancangan basis data,50
2020,31,pmkm,73
2020,32,probabilitas dan statistik,68
2020,33,proyek perangkat lunak  ,38
2020,34,riset operasi,38
2020,35,sistem informasi,56
2020,36,sistem informasi geografis  sig   pw ,43
2020,37,sistem operasi ,53
2020,38,sistem paralel dan terdistribusi,50
2020,39,sistem pendukung keputusan,61
2020,40,sistem tertanam,45
2020,41,sosio dan etika profesi,62
2020,42,strategi algoritma ,57
2020,43,struktur data dan algoritma ,67
2020,44,teknopreneur ,43
2020,45,teori graf,52
2020,46,teori komputer grafis,58
2020,47,tugas akhir 1 proposal ,221
2020,48,tugas akhir 2,249
